NAME,P0,P1
J1120-24,0.497,
J1120-3618,0.005557,9.36e-22
B1119-54,0.535787,2.8e-15
J1122-3546,0.007838,1.52e-20
J1123-4844,0.244839,6.49e-17
J1123-6102,0.640238,6.45e-15
J1123-6259,0.271438,5.25e-15
J1123-6651,0.232979,2.75e-15
J1124-3653,0.00241,6.0100000000000005e-21
J1124-5638,0.18556,9e-18
J1124-5916,0.135477,7.53e-13
J1124-6421,0.479099,6.2e-16
J1125+7819,0.004202,6.94e-21
J1125-5825,0.003102,6.09e-20
J1125-6014,0.00263,3.7300000000000006e-21
J1126-2737,0.358161,
J1126-38,0.88755,
B1124-60,0.202737,2.82e-16
J1126-6942,0.579419,3.29e-15
J1128-6219,0.515984,1.1e-17
J1129-53,1.06288,
J1130+0921,4.796637,-2.76e-15
J1130-5826,0.162323,1.59e-17
J1130-5925,0.680984,9.52e-16
J1130-6807,0.256353,4.61e-16
J1132+25,1.002,
J1132-4700,0.325634,7.76e-16
J1132-5627,0.175166,6.8e-17
B1131-62,1.022876,4.65e-16
J1134-6207,0.688961,
J1135-49,,
J1135-6055,0.114943,7.93e-14
B1133+16,1.187917,3.73e-15
B1133-55,0.364715,8.23e-15
J1136-64,1.023619,
J1136-6527,1.189309,1.75e-15
J1137+7528,0.002513,3.2400000000000004e-21
J1137-6700,0.556216,6.98e-17
J1138-6154,0.624372,
J1138-6207,0.117564,1.25e-14
J1139-6247,0.120482,4.05e-15
J1141-3107,0.538433,2.02e-15
J1141-3322,0.291468,4.65e-16
J1141-6545,0.393899,4.31e-15
J1142+0119,0.005075,1.5e-20
J1142-6230,0.558383,7.79e-17
J1143-5158,0.675646,6.95e-16
J1143-5536,0.685358,4.85e-16
J1144-6146,0.987783,-3.81e-17
J1144-6217,0.850665,3.08e-14
B1143-60,0.273375,1.79e-15
J1146-6610,0.003722,7.930000000000001e-21
J1148-5725,3.559937,1.11e-14
J1148-6415,3.241029,2.7e-15
J1148-6546,1.496743,
J1151-6108,0.101633,1.03e-14
J1152-5800,1.789829,1.28e-15
J1152-6012,0.37657,6.69e-15
J1152-6056,2.449,
J1153-2117,2.34348,
J1154-19,0.0111,
J1154-6250,0.282012,5.59e-16
J1155-6529,0.07887,
J1156-1318,,
J1156-5707,0.288417,2.65e-14
J1156-5909,1.037931,1.02e-15
J1157-5112,0.043589,1.43e-19
B1154-62,0.400526,3.93e-15
J1159-6409,0.667486,2.63e-17
J1159-7910,0.525077,2.81e-15
J1201-6306,0.592136,3.56e-15
B1159-58,0.452803,2.13e-15
J1203-6242,0.100604,4.41e-14
J1204-6843,0.308861,2.17e-16
J1207-4508,1.769828,1.56e-15
J1207-5050,0.004843,6.0600000000000006e-21
J1208-5936,0.028714,2.97e-20
J1208-6238,0.440591,3.27e-12
J1210-5226,0.424131,2.22e-17
J1210-5559,0.279768,7.25e-16
J1210-6322,1.163186,9.25e-15
J1210-6550,4.23701,4.31e-16
J1211-6324,0.433084,2.64e-16
J1212-5838,0.073802,
J1214-5830,0.909823,5.34e-17
J1215-5328,0.636414,1.09e-16
J1216-50,6.355,
J1216-6223,0.374053,1.68e-14
J1216-6410,0.003539,1.6e-21
J1220-6318,0.789212,7.76e-17
J1221-0633,0.001935,5.27e-21
J1222-5738,1.081164,1.5e-16
J1223-5856,0.288541,5.7e-18
J1224-6208,0.585761,2.02e-14
B1221-63,0.21648,4.95e-15
J1225-5556,1.018453,2.06e-15
